DATE,TIME,USER,PRODUCTION ORDER NUMBER,SKU,FORMULATION,AVERAGE TARE WEIGHT,CAN NET WEIGHT,DENOMINATION
10/6/2025,10:11 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.903,kg
10/6/2025,10:11 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,10:12 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:12 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:13 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:13 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.891,kg
10/6/2025,10:14 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,10:14 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.916,kg
10/6/2025,10:15 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,10:15 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,10:16 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.906,kg
10/6/2025,10:16 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.91,kg
10/6/2025,10:16 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.906,kg
10/6/2025,10:17 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.902,kg
10/6/2025,10:17 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,10:18 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.906,kg
10/6/2025,10:18 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,10:19 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.909,kg
10/6/2025,10:19 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
10/6/2025,10:20 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.901,kg
10/6/2025,10:20 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.905,kg
10/6/2025,10:21 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
10/6/2025,10:21 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.896,kg
10/6/2025,10:21 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.903,kg
10/6/2025,10:22 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,10:22 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.9,kg
10/6/2025,10:23 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.904,kg
10/6/2025,10:23 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:24 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:24 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.892,kg
10/6/2025,10:25 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.893,kg
10/6/2025,10:25 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,10:26 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.892,kg
10/6/2025,10:26 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.892,kg
10/6/2025,10:26 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.894,kg
10/6/2025,10:27 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:27 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.899,kg
10/6/2025,10:28 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
10/6/2025,10:28 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:29 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:29 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.902,kg
10/6/2025,10:30 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:30 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:31 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.905,kg
10/6/2025,10:31 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.898,kg
10/6/2025,10:31 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.897,kg
10/6/2025,10:32 AM,rud,101549999,192888,APR8 PSP444 V1.3 ALT7,0.1786,0.895,kg
